Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE aerobico,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Bilanciamento TCS medio,Training Stress Score®,Passi,Temperatura min,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2025-10-13 19:22:58,false,"Latina - 7 km D.A.","7.01","426","00:32:12","172","189","4.2","174","187","4:36","3:58","7","6","1.25","--","--","--","--","0.0","5,568","23.0","No","00:00:01.5","15","27.0","00:32:06","00:32:12","29","35"
Corsa,2025-10-09 18:56:47,false,"Latina - 4L 2M","6.01","375","00:28:53","167","190","3.9","170","183","4:48","4:06","9","10","1.22","--","--","--","--","0.0","4,910","22.0","No","00:00:01.5","7","26.0","00:28:50","00:28:53","26","33"
Corsa,2025-10-07 19:28:11,false,"Latina - 6 km D.A. easy","5.00","322","00:23:52","172","189","3.8","171","189","4:46","3:37","8","8","1.23","--","--","--","--","0.0","4,050","20.0","No","00:00:01.4","11","26.0","00:23:46","00:23:53","-2","8"
Corsa,2025-10-03 18:22:09,false,"Latina - 6 km D.A. easy","6.00","395","00:33:38","159","180","3.4","156","182","5:36","4:11","15","13","1.12","--","--","--","--","0.0","5,336","19.0","No","00:00:01.2","13","27.0","00:33:32","00:33:38","26","36"
Corsa,2025-09-29 18:45:50,false,"Latina - 6 km D.A. easy","6.01","381","00:28:02","173","188","4.1","173","189","4:40","3:48","7","9","1.24","--","--","--","--","0.0","4,798","24.0","No","00:00:02.6","13","27.0","00:27:54","00:28:02","27","34"
Corsa,2025-09-24 19:00:01,false,"Latina - 4L 2M","6.01","314","00:28:51","146","160","2.8","172","181","4:48","4:18","6","7","1.21","--","--","--","--","0.0","4,930","22.0","No","00:00:01.7","7","28.0","00:28:46","00:28:51","28","35"
Corsa,2025-09-22 18:43:50,false,"Latina - 6 km D.A. easy","6.00","367","00:34:04","150","173","3.0","152","189","5:41","3:00","12","13","1.14","--","--","--","--","0.0","5,376","25.0","No","00:00:01.3","13","29.0","00:34:00","00:34:04","27","35"
Corsa,2025-09-17 18:37:53,false,"Latina - 6 km D.A. easy","6.01","366","00:28:21","168","193","3.9","173","189","4:43","3:34","9","11","1.22","--","--","--","--","0.0","4,874","27.0","No","00:00:01.7","13","30.0","00:28:16","00:28:21","26","35"
Corsa,2025-09-09 18:30:29,false,"Latina - 4L 2M","6.00","391","00:28:01","174","194","4.2","172","185","4:40","4:07","12","11","1.24","--","--","--","--","0.0","4,816","28.0","No","00:00:00.5","7","30.0","00:27:59","00:28:01","27","35"
Corsa,2025-09-01 19:15:55,false,"Latina - 6 km D.A. easy","5.00","316","00:26:11","158","178","3.2","158","181","5:14","3:58","6","5","1.19","--","--","--","--","0.0","4,208","27.0","No","00:00:01.0","11","30.0","00:26:05","00:26:11","29","35"
Corsa,2025-08-25 18:50:15,false,"Latina - 6 km D.A. easy","6.01","392","00:33:29","158","191","3.5","147","191","5:35","3:31","13","12","1.18","--","--","--","--","0.0","5,102","28.0","No","00:00:01.2","13","32.0","00:31:44","00:33:29","27","34"
Corsa,2025-08-14 19:01:10,false,"Latina Corsa","5.00","326","00:27:49","152","172","3.2","164","170","5:34","4:47","5","6","1.09","--","--","--","--","0.0","4,560","30.0","No","00:05:01.2","5","33.0","00:27:48","00:27:49","43","50"
Corsa,2025-08-13 19:30:57,false,"Latina Corsa","6.01","421","00:32:32","161","184","3.7","164","174","5:25","4:58","10","7","1.13","--","--","--","--","0.0","5,358","29.0","No","00:00:01.2","7","33.0","00:32:26","00:32:32","17","25"
Corsa,2025-07-23 18:42:40,false,"Latina - 6 km D.A. easy","6.01","282","00:28:28","139","149","2.3","170","183","4:44","4:00","11","9","1.23","--","--","--","--","0.0","4,872","28.0","No","00:00:01.2","13","32.0","00:28:24","00:28:28","29","36"
